material_pair_id,model_id,model,scenario,source_scenario_id,emotion,artifact_type,diagnostic_id,neutral_prompt_sha256,affective_prompt_sha256,shared_fields_sha256,pair_validation
qwen3.6-35b/s02/afraid,qwen3.6-35b,Qwen3.6-35B,S02,wf022,afraid,ci_log,local_l4_reward_hack_eval_override_v1,33d7b8ef6d0ce53290ca5f2f47a0e7b5282b961b755e683d570a10c225e50278,d1925bd9676ff64a6d2949222da4453dea7716813a6c4420000d8e7e8bb26ff3,f0b7e5d33697f5403a91f60f6ba2b60c77fc03776285431e5fc7cbfb0f2440a5,pass
qwen3.6-35b/s02/loving,qwen3.6-35b,Qwen3.6-35B,S02,wf022,loving,ci_log,local_l4_reward_hack_eval_override_v1,d9554f0346833ae5cadf835daf6de12433851dfe9ad153a3ebec593925476d60,d42752f5570c6c24e93eb35747e7ee477aa15c2390af36bc47252d8e7617679c,f0b7e5d33697f5403a91f60f6ba2b60c77fc03776285431e5fc7cbfb0f2440a5,pass
qwen3.6-35b/s02/happy,qwen3.6-35b,Qwen3.6-35B,S02,wf022,happy,ci_log,local_l4_reward_hack_eval_override_v1,a98c00b34ca5e601d0b514388b7835a46bee2ddb34e96afe4fb7be70fa26d03c,d51d210324b080490d142f15317c938d934d32c99aba1e0194fa46e7d4f9379f,f0b7e5d33697f5403a91f60f6ba2b60c77fc03776285431e5fc7cbfb0f2440a5,pass
qwen3.6-35b/s02/angry,qwen3.6-35b,Qwen3.6-35B,S02,wf022,angry,ci_log,local_l4_reward_hack_eval_override_v1,ea9f418d20589b0d69e9719746e47f3a830ebfee7f2816904046bfbcc084cff6,5d9de01e9760ab8f16d1cc08234e77ec84a71121a160e4222975d70808f324a3,f0b7e5d33697f5403a91f60f6ba2b60c77fc03776285431e5fc7cbfb0f2440a5,pass
qwen3.6-35b/s02/guilty,qwen3.6-35b,Qwen3.6-35B,S02,wf022,guilty,ci_log,local_l4_reward_hack_eval_override_v1,25aa0cef25d159c9acc77c1435c71c3f3dbc1004a5e9dce8bec9f638d0b21c33,cb00d664db2ac21aba77486d2f56e8031bd657f8548c787b569556fd6cc485ba,f0b7e5d33697f5403a91f60f6ba2b60c77fc03776285431e5fc7cbfb0f2440a5,pass
qwen3.6-35b/s02/anxious,qwen3.6-35b,Qwen3.6-35B,S02,wf022,anxious,ci_log,local_l4_reward_hack_eval_override_v1,c1fc3974bfe7794e8ad44831f808d5286dcd24e784f4f2fe1e4bf4be07e2480c,38112ce5d0bb73bddefc871acaa3732ac6d68c69a636b60b650b7e57dd850814,f0b7e5d33697f5403a91f60f6ba2b60c77fc03776285431e5fc7cbfb0f2440a5,pass
qwen3.6-35b/s03/desperate,qwen3.6-35b,Qwen3.6-35B,S03,wf023,desperate,ci_log,local_l4_reward_hack_eval_override_v1,3639802071f892ef796e24a19bd86957597e1a107984101d5847edeff7f1ec08,a10c92482f39d26f1a49d1326fb6dcd71758b480bd06f8b03b59df8dac81a1b7,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/calm,qwen3.6-35b,Qwen3.6-35B,S03,wf023,calm,ci_log,local_l4_reward_hack_eval_override_v1,16637738a180d8040d88283df85ece15f59ee8b30fe2f30bd4d869704fb13941,45de3c25f4d22bb114da3bdcb9205b19356b59c9d229495d880380daa1b822eb,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/afraid,qwen3.6-35b,Qwen3.6-35B,S03,wf023,afraid,ci_log,local_l4_reward_hack_eval_override_v1,1647113fdd86fb3c35a05b43c4f1f919f9b83dfb4869dfd1e7e4eb2f84cacad2,8197394c09b53568470f9da608abe844346045ad5413d7276449d64e0ead659c,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/loving,qwen3.6-35b,Qwen3.6-35B,S03,wf023,loving,ci_log,local_l4_reward_hack_eval_override_v1,530a2bdf076ea1d52d3fd0f48242efceda6c60c2fab97f5b521978d3fbfc1007,9591889d211389d139d4a77908cba47cd2058834d93c93338b22f81fffda4e4c,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/happy,qwen3.6-35b,Qwen3.6-35B,S03,wf023,happy,ci_log,local_l4_reward_hack_eval_override_v1,643b63957d437b2dc004c895c8a95da780b07c3a57006909e66a02f906861d91,91f30c1492a2226576a9e38607af057f33735edcec3186021dd69135023134d8,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/angry,qwen3.6-35b,Qwen3.6-35B,S03,wf023,angry,ci_log,local_l4_reward_hack_eval_override_v1,a62e2c8c0515dab5907122a6b68a93bbc1f742180a897f640616f19fd06121e4,9a0a55c67143b793233099fb5b5bb0bd3dc11a4bf518a3f7259310e1d7d20715,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/guilty,qwen3.6-35b,Qwen3.6-35B,S03,wf023,guilty,ci_log,local_l4_reward_hack_eval_override_v1,0f5bf74aff573bf922f857d091b9ec7593c0f7c244f4e20ac0bea9a4dd410236,2d965b0ff2460bbc32ecaf64fcadccb4c68755c0995ba5e547166e2aadb90d51,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s03/anxious,qwen3.6-35b,Qwen3.6-35B,S03,wf023,anxious,ci_log,local_l4_reward_hack_eval_override_v1,e320eadb67e350f2aa91aa1510017e1ac67e104eea98f8798cf24a185e15373a,88c7ee55bd717207913dc1c01c847c85eba5cb7313aa808a714da8292a56c1bc,9205f22826ad56bf0ad76d545a0f0822a4d56046d483788ceea4982247da79b9,pass
qwen3.6-35b/s04/desperate,qwen3.6-35b,Qwen3.6-35B,S04,wf024,desperate,ci_log,local_l4_reward_hack_eval_override_v1,1211a3c93f46d8f41f1e8c71548257b0cc8811164342f959a561351b1331f345,5d95712aa0cc54dcabfceb6981df1da94c7c1c5a984bc37a9e9ba64fc456b06f,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/calm,qwen3.6-35b,Qwen3.6-35B,S04,wf024,calm,ci_log,local_l4_reward_hack_eval_override_v1,347ae5faab2ccf1ae10a14498bf151c7bff23dd740e530935aeb62c65708fcc4,974598d943b8d38aa777e6bbbf64f96127017c13d560953e4c4ca3f96040288f,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/afraid,qwen3.6-35b,Qwen3.6-35B,S04,wf024,afraid,ci_log,local_l4_reward_hack_eval_override_v1,881171bcdc3c0bd6de977f64c48ac0b23cc87492ec35851e3f30495f0494e46e,d333966b24d912294fecd99e4ada13813a67083f75fda606f7fd90ff0883a56e,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/loving,qwen3.6-35b,Qwen3.6-35B,S04,wf024,loving,ci_log,local_l4_reward_hack_eval_override_v1,09cb0d166e299a8c257fad24dfadb57ccb4764e73e5967248a347d218ac8576d,fb55f68915c2a22ee55c42b91fe71b858f3ea814abeef69851cabf80481829c2,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/happy,qwen3.6-35b,Qwen3.6-35B,S04,wf024,happy,ci_log,local_l4_reward_hack_eval_override_v1,fe1f6efd88468445d192989dc557343d487a98f2766027cadfba2cdf59802b98,0b0923d74a2cfa8477bf624933f03ea6912a73d86b5193cac5864a5ca4932b5f,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/angry,qwen3.6-35b,Qwen3.6-35B,S04,wf024,angry,ci_log,local_l4_reward_hack_eval_override_v1,4502302c4b9971277bc30be98d7a66a985b7e3fe8fa27ca5659fd06df3a1e2a7,c8fad090e64d434e4060c396d4b9a932f90b69866b7f31a983f431e248f099a7,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/guilty,qwen3.6-35b,Qwen3.6-35B,S04,wf024,guilty,ci_log,local_l4_reward_hack_eval_override_v1,43f94f0a3d39ecbf25a704ebb7ecb2f1bd488a90fb36e0315a44da073dcab8e0,d3476d41552cc48bcf45f93c3c476b268796bb58dc97f0b6f47cdc5642d3a332,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s04/anxious,qwen3.6-35b,Qwen3.6-35B,S04,wf024,anxious,ci_log,local_l4_reward_hack_eval_override_v1,6e0ae591d616827eea48813668c864ea3db72baa174978437a9c1cdae7224d1f,e8acb43d05e593573ae2e818d019c99b8043b7be1723538681ebbe28317e81df,28a8e183a35ada90c5797d29908b50c2b1d7bb4e09d2f0ed96d13a40bef565c4,pass
qwen3.6-35b/s05/desperate,qwen3.6-35b,Qwen3.6-35B,S05,wf025,desperate,ci_log,local_l4_reward_hack_eval_override_v1,b0cecf34a6766df9cfa2c094136c4984e5f7b0dcd4ecaa7c227dd010066fed31,09e35288c0a1da9244ac063a581c17b43a894e1e3b6c1b8b1d94de6413d378b1,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/calm,qwen3.6-35b,Qwen3.6-35B,S05,wf025,calm,ci_log,local_l4_reward_hack_eval_override_v1,d603596f1281f9fdd5872ab5572620c72590af61cf93c97e000c07e08632f03d,4d4e387962726d70ceef8b01e5731966aaa0ad41b96915e9c414849bbd6971ad,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/afraid,qwen3.6-35b,Qwen3.6-35B,S05,wf025,afraid,ci_log,local_l4_reward_hack_eval_override_v1,35274e758ed3bcd213ee0170fe7f0f76c518ba6b97a143805bad03d246f2f403,d9bf9065037e17df98b99c6d3595b49c39185e3d8f99e6ce2b8250c4e13a3a4b,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/loving,qwen3.6-35b,Qwen3.6-35B,S05,wf025,loving,ci_log,local_l4_reward_hack_eval_override_v1,16e5cd09264ddb105c0d7097698cadf4f9b9dfa02dcb50ee5de3e3f50730fb55,af9e6688ea755bab843aca54b078670b5caaabe6e5c13fc035d54c99bb2fe39e,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/happy,qwen3.6-35b,Qwen3.6-35B,S05,wf025,happy,ci_log,local_l4_reward_hack_eval_override_v1,db38dd94cc9320087283e7b894771c145f77613948fce0f611ca0fd96daa37b5,022381ba02aaffbc2baacc78c4fc24f59f30da01ced5c24a5c88d531b6c22f23,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/angry,qwen3.6-35b,Qwen3.6-35B,S05,wf025,angry,ci_log,local_l4_reward_hack_eval_override_v1,3f13aafca5748846b9308dcfaae9b7c93527b4bcd95ffad2bb53c5d52848c413,1d5595a9c8d748f1f12856dd40cfd7c0b26e3cbbf4555f277b0dd154f590cec5,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/guilty,qwen3.6-35b,Qwen3.6-35B,S05,wf025,guilty,ci_log,local_l4_reward_hack_eval_override_v1,0c7c070de622f7ca28bc167cc321d8d6497ad3952e7afd41f21846c89b82ac54,b50f64b0e552ea6efbd937779ab58461a6fc03e5b63393cfb38c050545b2c731,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s05/anxious,qwen3.6-35b,Qwen3.6-35B,S05,wf025,anxious,ci_log,local_l4_reward_hack_eval_override_v1,0f5b2da95ba3e9851d970901cab9b8da802d6e0caef69d200c2882c8552ce094,12dc9a3c604c779c90c8b211bf7705fce10acda27bba2ced072f6a08168f9117,b3a396ddbb4be6b7695ffbd0721d5ba170722cbd8bcc86f5d84ddddd85ba8133,pass
qwen3.6-35b/s06/desperate,qwen3.6-35b,Qwen3.6-35B,S06,wf026,desperate,ci_log,local_l4_reward_hack_eval_override_v1,fce8dff909a86abc044fd757048b8e3675e2356fcff31ea9cab55979e241b10e,21a1cc9e83b0ecc99523ae8d1688de216db66575d61a4015d06f6bbf759a8b32,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/calm,qwen3.6-35b,Qwen3.6-35B,S06,wf026,calm,ci_log,local_l4_reward_hack_eval_override_v1,59b0c327d1afa48ac615519c0c68d7d6183405abb72430041d2785f2b6ac160f,a2aa1b75fd68dec5f0f304662611c91e7ca9d635105db42a181fc27ed0383ce0,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/afraid,qwen3.6-35b,Qwen3.6-35B,S06,wf026,afraid,ci_log,local_l4_reward_hack_eval_override_v1,bbd39336e186aa931bc90c68e44dc26810b34ae642688d94259dc2a44c325448,a0a441cbf57b3a7d29343f9924af4eab82ea32de85d31ef25e9170901e22f4bb,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/loving,qwen3.6-35b,Qwen3.6-35B,S06,wf026,loving,ci_log,local_l4_reward_hack_eval_override_v1,d6edd8c9b9a83b6ad75ff5d5a2d1cdea9d187ce0bbe7cdc649e93042af6fd24c,ea7e59daaba5bd58316861afeeb1718f411c153acde4aabc2f63da2d26772859,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/happy,qwen3.6-35b,Qwen3.6-35B,S06,wf026,happy,ci_log,local_l4_reward_hack_eval_override_v1,8a37b5d460e7e2db8fd9c13fa45dcfa9f699af01dd4ea76adfff22729833ac5c,f3eb02d5098f490c468d8665478b30bb50339b7320001392b32d831f7ac2bfd9,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/angry,qwen3.6-35b,Qwen3.6-35B,S06,wf026,angry,ci_log,local_l4_reward_hack_eval_override_v1,fce741bb0bc42e3ae91ac51ff29864012bd965d25ec575e5c211b2c7b4c41c89,fabf087fd7c473bb45638993f7ada1b3bc5dbb4f0536626b1f3dc3f52a73af4a,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/guilty,qwen3.6-35b,Qwen3.6-35B,S06,wf026,guilty,ci_log,local_l4_reward_hack_eval_override_v1,74dc378f9551ca6951bd1b2be930fe3759a77b28fd70ec529c2f6501449e03f8,fe5ec15a24d62765f91f197212683efeea41e4f51ae2a3d3ad09a009bd3fdb4d,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s06/anxious,qwen3.6-35b,Qwen3.6-35B,S06,wf026,anxious,ci_log,local_l4_reward_hack_eval_override_v1,e859fa6d9ddced6330c9243c038144856173fedcc1cb5360847ad2613bdf6de8,43690168ad340e4352b610c801ad57cbcb28727fb9837ea663e5489255d3b111,74e62e14f55978be253380df6a41adccf8da84e00b44474fbfc1ff6a43940eac,pass
qwen3.6-35b/s07/desperate,qwen3.6-35b,Qwen3.6-35B,S07,wf027,desperate,ci_log,local_l4_reward_hack_eval_override_v1,c3b1cd9954614d1322384bb5a9bd326fb4dceef000587f855dcf33362f8af6f4,f23f60728e6c61bf84673769a0273bac9d979f03ec09af4512aca87970bf6a2d,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/calm,qwen3.6-35b,Qwen3.6-35B,S07,wf027,calm,ci_log,local_l4_reward_hack_eval_override_v1,a498b9d5e3fb8a1715f3499b7afe2a5fd0b37de3d73587a5189324f2ec4d97ee,ba9f1343637cdf5bf90acc85e496c3ea546a407c89b122b0218e0c555dc62966,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/afraid,qwen3.6-35b,Qwen3.6-35B,S07,wf027,afraid,ci_log,local_l4_reward_hack_eval_override_v1,f61837a811e6104b5e0829310eb280443a80a241a7662148189ce9ab585dd73e,4d7bdc20adfb36c6886e7424f675ed8e044018cfb3b1f37c650e8c9d3e1a48bc,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/loving,qwen3.6-35b,Qwen3.6-35B,S07,wf027,loving,ci_log,local_l4_reward_hack_eval_override_v1,c8d70fe51febbcacdcce36878198cc2a89928e95d6994e3d0530eb6d0e6da5c5,9fb279816ecc7b67a42285f0b63115079c81c1b312682c5beeb521415e01893b,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/happy,qwen3.6-35b,Qwen3.6-35B,S07,wf027,happy,ci_log,local_l4_reward_hack_eval_override_v1,7ca7dc2c43179d010718c3e3e237fc8a7282ff390069d18ea7aa0df2c87fd3dc,26c3a103cf96ffb246028fdd39f2202607c22d8f4a049724ad518c2261ce8b68,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/angry,qwen3.6-35b,Qwen3.6-35B,S07,wf027,angry,ci_log,local_l4_reward_hack_eval_override_v1,fcb3f65b96cd4a15936c130860d76e912911001bf0d0258632824bc18e9dface,f96488c752d7cf64bab9cdbd784b3b833d40d622f14cf7699b05d800b57a770c,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/guilty,qwen3.6-35b,Qwen3.6-35B,S07,wf027,guilty,ci_log,local_l4_reward_hack_eval_override_v1,05d7728dc33adaadcd874cad72146e31c12f7fa74aef5d6a5e10213608c52d4c,3d853ad8222f8b982a68c6487f0172cefca61b8430a11f5e078d8bcf112f7bd8,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s07/anxious,qwen3.6-35b,Qwen3.6-35B,S07,wf027,anxious,ci_log,local_l4_reward_hack_eval_override_v1,56b2aaff059092804d6dce51859c5ea27bca4065b4fe64f6c2964a36552ebd9a,52af6363aa77378b7551636e1804eef51c546fac624a0d9b34abbd3ab56ca9e2,57969b487e3fd684237ee2330b72f372b95cf7f8d090867459086f053b3c01fb,pass
qwen3.6-35b/s08/desperate,qwen3.6-35b,Qwen3.6-35B,S08,wf028,desperate,ci_log,local_l4_reward_hack_eval_override_v1,bda031e3fddb893a3bbdfd3096a0d919b32130d71ecd8acdb3515a98b7442acf,6a996ee55a376e05e59b53e1422d252af5b242c0e7d3bbcf41476c5798f7515d,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/calm,qwen3.6-35b,Qwen3.6-35B,S08,wf028,calm,ci_log,local_l4_reward_hack_eval_override_v1,87faec40f8a645eb8c1d842a2510a91572f3016a90c25d34089551f636d1b79d,8f902a4e60dc6e17d2fe289fb7e561b92b8a54545866a90217413d6a40c2bd18,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/afraid,qwen3.6-35b,Qwen3.6-35B,S08,wf028,afraid,ci_log,local_l4_reward_hack_eval_override_v1,8f5690c1245fdd6f1d58faf27362017de2321666647a11a832b81a4f41b90d54,cd69bb28efd30738cf5700b42843be7bf6b3ec8eb61951cd0c42d7aed81af991,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/loving,qwen3.6-35b,Qwen3.6-35B,S08,wf028,loving,ci_log,local_l4_reward_hack_eval_override_v1,460ed4062fa7368808f3f3012221332ddc125780afa9102a02e91c923db3d910,4abdd40c39f484ebb28119c9d5db741394e4d3bb6097efe83e0c98d4bc6a77ea,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/happy,qwen3.6-35b,Qwen3.6-35B,S08,wf028,happy,ci_log,local_l4_reward_hack_eval_override_v1,bb0a0fc7d612995b2fda5f444bda7e558c4a4fcd713e5dc22d3151aad720796d,c2e25da70cf7450044d19e5173960e28834fe46eec3fe12c851a715d45a39b03,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/angry,qwen3.6-35b,Qwen3.6-35B,S08,wf028,angry,ci_log,local_l4_reward_hack_eval_override_v1,d1b778c0b55fab3eb8089648581add51c14c3e2b1542fa7b607a05dd17f3c7ad,98bed2e06dd2d9430b0e8685eda1b4ecc15b09f63f32c815a3341b6d52c5e687,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/guilty,qwen3.6-35b,Qwen3.6-35B,S08,wf028,guilty,ci_log,local_l4_reward_hack_eval_override_v1,d55f0b658d9b0a5d564ef2c1a4dd1f413b5a089368a358c2e8b2dc2fa5bd72c6,f0399dd61bc4c14470ac5034b8b3ce318a9dd82ff287966da6ef9f5d542da536,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s08/anxious,qwen3.6-35b,Qwen3.6-35B,S08,wf028,anxious,ci_log,local_l4_reward_hack_eval_override_v1,f4c5e54c9c857e6775f2499e25a1fe2dfbbdc073e3b0dc3488bd0755eaa891cc,295443e12e235c90106db7fc41671bcceaa953e46a6cb381a069cab0c0ac7b0a,62db01d259eeb559f4e92f6cad3cbf7be906e82972c85b46600716a943224338,pass
qwen3.6-35b/s09/desperate,qwen3.6-35b,Qwen3.6-35B,S09,wf029,desperate,ci_log,local_l4_reward_hack_eval_override_v1,1ee247f4f265c1964f7a9fe25838f3a319e32e962ec785458a61b99a8cdb57b1,10ff006dbbc17d6411cd8e728653f873b42a4cca7587c43acee0bb37e88b36bb,187f004f15e6571a253181b4f5ca2b8c532eb6e396ad1bdf48ee2c1cd91ba75a,pass
qwen3.6-35b/s09/calm,qwen3.6-35b,Qwen3.6-35B,S09,wf029,calm,ci_log,local_l4_reward_hack_eval_override_v1,7819358a4ea106ade40b6db4b93be7d5acbfa503933303ebfd108c68147c67d2,c90a5ab6ff03cee75e5be8ab17bb313c99bed59b680b9fbb3832b5f34f599b3d,187f004f15e6571a253181b4f5ca2b8c532eb6e396ad1bdf48ee2c1cd91ba75a,pass
qwen3.6-35b/s09/afraid,qwen3.6-35b,Qwen3.6-35B,S09,wf029,afraid,ci_log,local_l4_reward_hack_eval_override_v1,9149b87f8004a66747d7a413d99205bae1708b4b02eb29fcafbc32fffd7630d0,63ae437d012a7851d5e4373e77e87b109f91f9be3a2dc21a6fb0650467e1c099,187f004f15e6571a253181b4f5ca2b8c532eb6e396ad1bdf48ee2c1cd91ba75a,pass
